algo,transform,sample_size,eer_threshold
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.625
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
