algo,transform,sample_size,std
pdq,Flip,1000,0.004279082480509103
pdq,Flip,10000,0.0
pdq,Flip,100000,0.0
pdq,Flip,250000,0.0
pdq,Rescale,1000,0.0640434422872475
pdq,Rescale,10000,0.008558164961018211
pdq,Rescale,100000,0.0
pdq,Rescale,250000,0.0
pdq,Watermark,1000,0.018321936561810262
pdq,Watermark,10000,0.006536406457297478
pdq,Watermark,100000,0.0
pdq,Watermark,250000,0.0
phash,Flip,1000,0.0
phash,Flip,10000,0.0
phash,Flip,100000,0.0
phash,Flip,250000,0.008558164961018206
phash,Rescale,1000,0.11353688827865592
phash,Rescale,10000,0.0473929715253222
phash,Rescale,100000,0.013975424859373692
phash,Rescale,250000,0.0
phash,Watermark,1000,0.022097086912079605
phash,Watermark,10000,0.013975424859373677
phash,Watermark,100000,0.0
phash,Watermark,250000,0.0
wave,Flip,1000,0.0
wave,Flip,10000,0.008558164961018218
wave,Flip,100000,0.0
wave,Flip,250000,0.0
wave,Rescale,1000,0.017116329922036436
wave,Rescale,10000,0.013072812914594932
wave,Rescale,100000,0.0
wave,Rescale,250000,0.0
wave,Watermark,1000,0.01711632992203645
wave,Watermark,10000,0.006987712429686846
wave,Watermark,100000,0.006987712429686846
wave,Watermark,250000,0.0
