algo,transform,sample_size,eer_threshold
pdq,Rescale,1000,0.7265625
pdq,Rescale,1000,0.7265625
pdq,Rescale,1000,0.6328125
pdq,Rescale,1000,0.8125
pdq,Rescale,1000,0.7421875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,100000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Rescale,250000,0.6171875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6328125
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.625
pdq,Watermark,100000,0.6171875
pdq,Watermark,100000,0.6171875
pdq,Watermark,100000,0.6171875
pdq,Watermark,100000,0.6171875
pdq,Watermark,100000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Watermark,250000,0.6171875
pdq,Flip,1000,0.5
pdq,Flip,1000,0.5
pdq,Flip,1000,0.5
pdq,Flip,1000,0.5078125
pdq,Flip,1000,0.5078125
pdq,Flip,10000,0.5078125
pdq,Flip,10000,0.5078125
pdq,Flip,10000,0.5078125
pdq,Flip,10000,0.5078125
pdq,Flip,10000,0.5078125
pdq,Flip,100000,0.5078125
pdq,Flip,100000,0.5078125
pdq,Flip,100000,0.5078125
pdq,Flip,100000,0.5078125
pdq,Flip,100000,0.5078125
pdq,Flip,250000,0.5078125
pdq,Flip,250000,0.5078125
pdq,Flip,250000,0.5078125
pdq,Flip,250000,0.5078125
pdq,Flip,250000,0.5078125
wave,Rescale,1000,0.90625
wave,Rescale,1000,0.9375
wave,Rescale,1000,0.9375
wave,Rescale,1000,0.90625
wave,Rescale,1000,0.9375
wave,Rescale,10000,0.9375
wave,Rescale,10000,0.921875
wave,Rescale,10000,0.921875
wave,Rescale,10000,0.90625
wave,Rescale,10000,0.90625
wave,Rescale,100000,0.921875
wave,Rescale,100000,0.921875
wave,Rescale,100000,0.921875
wave,Rescale,100000,0.921875
wave,Rescale,100000,0.921875
wave,Rescale,250000,0.921875
wave,Rescale,250000,0.921875
wave,Rescale,250000,0.921875
wave,Rescale,250000,0.921875
wave,Rescale,250000,0.921875
wave,Watermark,1000,0.84375
wave,Watermark,1000,0.84375
wave,Watermark,1000,0.84375
wave,Watermark,1000,0.875
wave,Watermark,1000,0.875
wave,Watermark,10000,0.875
wave,Watermark,10000,0.875
wave,Watermark,10000,0.875
wave,Watermark,10000,0.859375
wave,Watermark,10000,0.875
wave,Watermark,100000,0.859375
wave,Watermark,100000,0.859375
wave,Watermark,100000,0.859375
wave,Watermark,100000,0.875
wave,Watermark,100000,0.859375
wave,Watermark,250000,0.859375
wave,Watermark,250000,0.859375
wave,Watermark,250000,0.859375
wave,Watermark,250000,0.859375
wave,Watermark,250000,0.859375
wave,Flip,1000,0.59375
wave,Flip,1000,0.59375
wave,Flip,1000,0.59375
wave,Flip,1000,0.59375
wave,Flip,1000,0.59375
wave,Flip,10000,0.578125
wave,Flip,10000,0.578125
wave,Flip,10000,0.59375
wave,Flip,10000,0.578125
wave,Flip,10000,0.59375
wave,Flip,100000,0.578125
wave,Flip,100000,0.578125
wave,Flip,100000,0.578125
wave,Flip,100000,0.578125
wave,Flip,100000,0.578125
wave,Flip,250000,0.578125
wave,Flip,250000,0.578125
wave,Flip,250000,0.578125
wave,Flip,250000,0.578125
wave,Flip,250000,0.578125
phash,Rescale,1000,0.90625
phash,Rescale,1000,0.96875
phash,Rescale,1000,0.6875
phash,Rescale,1000,0.90625
phash,Rescale,1000,0.78125
phash,Rescale,10000,0.75
phash,Rescale,10000,0.78125
phash,Rescale,10000,0.84375
phash,Rescale,10000,0.75
phash,Rescale,10000,0.84375
phash,Rescale,100000,0.75
phash,Rescale,100000,0.75
phash,Rescale,100000,0.78125
phash,Rescale,100000,0.75
phash,Rescale,100000,0.75
phash,Rescale,250000,0.75
phash,Rescale,250000,0.75
phash,Rescale,250000,0.75
phash,Rescale,250000,0.75
phash,Rescale,250000,0.75
phash,Watermark,1000,0.6875
phash,Watermark,1000,0.71875
phash,Watermark,1000,0.71875
phash,Watermark,1000,0.71875
phash,Watermark,1000,0.75
phash,Watermark,10000,0.71875
phash,Watermark,10000,0.6875
phash,Watermark,10000,0.71875
phash,Watermark,10000,0.71875
phash,Watermark,10000,0.71875
phash,Watermark,100000,0.71875
phash,Watermark,100000,0.71875
phash,Watermark,100000,0.71875
phash,Watermark,100000,0.71875
phash,Watermark,100000,0.71875
phash,Watermark,250000,0.71875
phash,Watermark,250000,0.71875
phash,Watermark,250000,0.71875
phash,Watermark,250000,0.71875
phash,Watermark,250000,0.71875
phash,Flip,1000,0.53125
phash,Flip,1000,0.53125
phash,Flip,1000,0.53125
phash,Flip,1000,0.53125
phash,Flip,1000,0.53125
phash,Flip,10000,0.53125
phash,Flip,10000,0.53125
phash,Flip,10000,0.53125
phash,Flip,10000,0.53125
phash,Flip,10000,0.53125
phash,Flip,100000,0.53125
phash,Flip,100000,0.53125
phash,Flip,100000,0.53125
phash,Flip,100000,0.53125
phash,Flip,100000,0.53125
phash,Flip,250000,0.515625
phash,Flip,250000,0.515625
phash,Flip,250000,0.53125
phash,Flip,250000,0.53125
phash,Flip,250000,0.53125
