algo,transform,sample_size,std
pdq,Flip,1000,0.0030332929241758786
pdq,Flip,10000,0.0
pdq,Rescale,1000,0.06718063352182736
pdq,Rescale,10000,0.016790288501522473
pdq,Watermark,1000,0.039898754506811095
pdq,Watermark,10000,0.008597086564767637
phash,Flip,1000,0.0009882117688026363
phash,Flip,10000,0.0
phash,Rescale,1000,0.08531231381549918
phash,Rescale,10000,0.030991399895291573
phash,Watermark,1000,0.016290303741303774
phash,Watermark,10000,0.009050179445291023
wave,Flip,1000,0.0036279502604597024
wave,Flip,10000,0.007496495583546804
wave,Rescale,1000,0.020341200375860898
wave,Rescale,10000,0.012107284806327409
wave,Watermark,1000,0.01508335794834797
wave,Watermark,10000,0.009209337862488379
